Label,Preds
[[146.36337   11.941319 145.2303    11.113875  26.514341  24.646442]],[[151.00288   11.575663 149.84344   10.499377  27.693745  25.708324]]
[[146.37294   11.893185 145.25087   11.086101  26.510336  24.607542]],[[151.01439   11.534296 149.86653   10.517165  27.609907  25.641006]]
[[146.38533   11.839411 145.2751    11.055634  26.500734  24.564724]],[[151.02419   11.491642 149.88817   10.535071  27.52493   25.572586]]
[[146.4003    11.78463  145.30086   11.028374  26.490128  24.52175 ]],[[151.0321     11.4477415 149.90823    10.55381    27.438276   25.502617 ]]
[[146.4237    11.7266   145.33531   10.99523   26.472952  24.47447 ]],[[151.03778   11.402597 149.9263    10.572773  27.349548  25.430744]]
[[146.44865    11.6622925 145.37262    10.956924   26.446653   24.420116 ]],[[151.04118   11.356165 149.94241   10.591743  27.258657  25.356977]]
[[146.4752    11.587782 145.41345   10.921706  26.408077  24.353842]],[[151.04204   11.308388 149.95628   10.61061   27.165127  25.280958]]
[[146.51227   11.514152 145.46371   10.885285  26.368073  24.287182]],[[151.03946   11.258426 149.96724   10.629149  27.067202  25.20113 ]]
[[146.55328   11.437441 145.51834   10.847519  26.320833  24.216295]],[[151.03316   11.205887 149.9751    10.648007  26.964355  25.11706 ]]
[[146.59712   11.353459 145.57602   10.812977  26.266308  24.13843 ]],[[151.02269   11.150629 149.97948   10.665974  26.855755  25.027924]]
[[146.64478   11.265837 145.6376    10.774895  26.202497  24.05249 ]],[[151.00806   11.091945 149.98045   10.684336  26.741966  24.93434 ]]
[[146.70032   11.170079 145.70749   10.738707  26.130363  23.96002 ]],[[150.98857   11.031445 149.97702   10.702723  26.624117  24.837048]]
[[146.76036   11.067044 145.78287   10.701714  26.049185  23.859695]],[[150.96388   10.969134 149.96877   10.720814  26.502392  24.736145]]
[[146.82599   10.964098 145.86395   10.657708  25.965488  23.760603]],[[150.93633   10.905351 149.95789   10.740698  26.379257  24.633736]]
[[146.89577   10.846366 145.95227   10.621474  25.864943  23.645924]],[[150.908     10.840595 149.94633   10.763361  26.256264  24.531057]]
[[146.96913   10.72221  146.04474   10.586165  25.755186  23.523829]],[[150.88223   10.776378 149.93704   10.789764  26.135315  24.429602]]
[[147.04047    10.594147  146.13551    10.5513115  25.641481   23.396824 ]],[[150.86237   10.713126 149.93332   10.818027  26.01791   24.330168]]
[[147.11044   10.466094 146.22469   10.516497  25.522505  23.267294]],[[150.84285   10.6513   149.92966   10.844086  25.899036  24.228455]]
[[147.18025   10.338767 146.3132    10.475695  25.403772  23.139938]],[[150.82451   10.592741 149.92651   10.865011  25.778133  24.123596]]
[[147.24594   10.20784  146.39803   10.436726  25.278252  23.004625]],[[150.8091    10.526447 149.92676   10.9402    25.645721  24.04317 ]]
[[147.30974   10.074396 146.48161   10.397661  25.148552  22.864756]],[[150.79588   10.453737 149.92972   11.050452  25.514715  23.98082 ]]
[[147.37257    9.935342 146.56482   10.372785  25.013796  22.72067 ]],[[150.79062   10.382105 149.94008   11.161449  25.395708  23.924252]]
[[147.43875    9.795156 146.65247   10.339192  24.876152  22.577133]],[[150.79118   10.312157 149.95569   11.27296   25.285305  23.8718  ]]
[[147.50398    9.654108 146.73837   10.309567  24.738098  22.435198]],[[150.79512   10.24194  149.97456   11.385915  25.17954   23.821856]]
[[147.56459    9.512877 146.81964   10.281845  24.599874  22.292435]],[[150.79445   10.170403 149.98906   11.49946   25.072636  23.771564]]
[[147.62282    9.369264 146.89845   10.255131  24.460419  22.146105]],[[150.79001   10.098005 150.00006   11.608062  24.963997  23.718409]]
[[147.67503     9.223202  146.97127    10.2316675  24.321297   22.001017 ]],[[150.78578   10.023027 150.01245   11.691335  24.84935   23.651838]]
[[147.7231     9.079235 147.04019   10.211458  24.185501  21.861458]],[[150.78069    9.946182 150.02469   11.761711  24.730368  23.577503]]
[[147.76753    8.935676 147.1058    10.194118  24.051403  21.725847]],[[150.78572    9.866568 150.0485    11.793997  24.609934  23.488861]]
[[147.8095     8.792351 147.1689    10.178192  23.91815   21.593966]],[[150.80232    9.784662 150.08511   11.79298   24.488329  23.386524]]
[[147.84422    8.653601 147.22517   10.16511   23.787254  21.466623]],[[150.82326    9.703153 150.12602   11.794685  24.370731  23.288448]]
[[147.87396    8.517918 147.27531   10.152985  23.658308  21.344194]],[[150.85461    9.625201 150.17648   11.803441  24.26337   23.202267]]
[[147.90105    8.391723 147.32083   10.145083  23.540007  21.231058]],[[150.89243    9.545104 150.23422   11.808997  24.14961   23.107903]]
[[147.9195     8.266824 147.35797   10.139412  23.422117  21.117428]],[[150.93956    9.46457  150.30173   11.804462  24.03101   23.004257]]
[[147.93777    8.149938 147.39273   10.137317  23.313715  21.017103]],[[150.99007    9.38297  150.37311   11.790459  23.909714  22.894072]]
[[147.9542     8.040525 147.42487   10.138231  23.213081  20.928041]],[[151.04536    9.299936 150.44992   11.764256  23.785126  22.77523 ]]
[[147.96465     7.9359136 147.45094    10.141254   23.115635   20.846397 ]],[[151.1065     9.215037 150.53333   11.726786  23.658092  22.64746 ]]
[[147.96696    7.839125 147.4671    10.150021  23.025827  20.773672]],[[151.16725    9.12653  150.61752   11.674396  23.523901  22.507174]]
[[147.96533    7.753274 147.4771    10.164143  22.947092  20.715113]],[[151.22641     9.034268  150.7013     11.6111355  23.382294   22.355602 ]]
[[147.96063     7.6696315 147.48366    10.180082   22.870121   20.658817 ]],[[151.28355    8.938705 150.78406   11.538161  23.234022  22.193905]]
[[147.96005     7.5926147 147.49382    10.1976385  22.797827   20.610607 ]],[[151.33879    8.839888 150.86592   11.457594  23.078068  22.021646]]
[[147.95233    7.51774  147.49706   10.214408  22.727558  20.565416]],[[151.39148    8.737559 150.94632   11.368394  22.913616  21.838314]]
[[147.94157    7.44714  147.4973    10.228806  22.662346  20.52703 ]],[[151.44016    8.630776 151.02396   11.268296  22.740845  21.643898]]
[[147.93129    7.376744 147.49826   10.247275  22.598492  20.491076]],[[151.48515    8.51961  151.09924   11.154188  22.559881  21.43731 ]]
[[147.92111    7.305727 147.50038   10.263851  22.534653  20.458466]],[[151.52785    8.405127 151.17334   11.023509  22.371693  21.218414]]
[[147.91144    7.237206 147.50238   10.278233  22.470297  20.42622 ]],[[151.57066    8.286719 151.24881   10.878955  22.175598  20.986568]]
[[147.8986      7.1713023 147.50124    10.29463    22.408335   20.397503 ]],[[151.6122     8.165028 151.32394   10.725695  21.974857  20.746014]]
[[147.8852      7.1116214 147.49805    10.311832   22.352669   20.377626 ]],[[151.6511     8.039052 151.39781   10.551117  21.764847  20.490498]]
[[147.87578    7.04774  147.50043   10.325154  22.289064  20.352964]],[[151.68843     7.9112525 151.47083    10.356334   21.550304   20.224693 ]]
[[147.8755      6.9886265 147.51118    10.33655    22.22877    20.334862 ]],[[151.73007     7.7799582 151.54944    10.132239   21.332827   19.945675 ]]
[[147.87251    6.930953 147.51965   10.348297  22.16549   20.313412]],[[151.76561    7.613959 151.62656   10.042632  21.088621  19.723675]]
[[147.87123     6.8794723 147.52896    10.359732   22.10265    20.296013 ]],[[151.81937     7.4350395 151.72379    10.001606   20.853281   19.515608 ]]
[[147.8715     6.828805 147.5391    10.368485  22.037605  20.277205]],[[151.90646     7.2412696 151.85638    10.022429   20.630445   19.326897 ]]
[[147.87299     6.7803836 147.55054    10.376272   21.971518   20.258007 ]],[[152.0041     7.041064 152.0004    10.061567  20.41383   19.147429]]
[[147.87848    6.735818 147.56575   10.38029   21.90626   20.24105 ]],[[152.09996    6.850684 152.13988   10.11082   20.222729  18.99236 ]]
[[147.88354     6.6920686 147.5806     10.3839655  21.839764   20.222599 ]],[[152.19376     6.6761475 152.27342    10.166754   20.060144   18.864372 ]]
[[147.89157     6.6511855 147.59718    10.394349   21.773733   20.203182 ]],[[152.28654     6.5071254 152.40439    10.220766   19.914078   18.75198  ]]
[[147.90129    6.613354 147.61493   10.401757  21.709555  20.187292]],[[152.39525     6.3564587 152.54625    10.2563     19.821735   18.687891 ]]
[[147.90517     6.5762353 147.62654    10.409014   21.643269   20.169588 ]],[[152.5305     6.231132 152.70789   10.260588  19.806229  18.690475]]
[[147.91002    6.537402 147.63924   10.417726  21.574718  20.148623]],[[152.70003     6.1263003 152.89886    10.229093   19.845366   18.73529  ]]
[[147.91751     6.5027175 147.65388    10.420508   21.507515   20.128386 ]],[[152.87097     6.0243907 153.09012    10.19042    19.906845   18.798225 ]]
[[147.92462    6.469352 147.66776   10.422072  21.441092  20.10858 ]],[[153.02379    5.920515 153.26294   10.146721  19.98213   18.871597]]
[[147.93129    6.441114 147.68117   10.418358  21.37483   20.091433]],[[153.14424    5.808526 153.40466   10.061576  20.063263  18.945768]]
[[147.93967     6.4203534 147.69533    10.411652   21.31186    20.078209 ]],[[153.2322     5.695989 153.51343    9.961347  20.152485  19.02463 ]]
[[147.94838    6.396849 147.71013   10.408506  21.2434    20.057539]],[[153.27354    5.585254 153.57495    9.849167  20.230898  19.094929]]
[[147.95135    6.383048 147.7168    10.40211   21.184418  20.046131]],[[153.25839    5.444444 153.58525    9.752781  20.295372  19.165396]]
[[147.95139    6.37266  147.71971   10.395803  21.13077   20.039576]],[[153.19908    5.301041 153.5499     9.740761  20.343136  19.2425  ]]
[[147.9545     6.36619  147.7253    10.389351  21.0776    20.035122]],[[153.12437     5.1854787 153.4921      9.798992   20.361755   19.310997 ]]
[[147.95647     6.3606544 147.72968    10.379762   21.025871   20.031076 ]],[[153.05397     5.0984406 153.43243     9.8853     20.367208   19.37351  ]]
[[147.95786     6.3524833 147.73389    10.378242   20.972532   20.023457 ]],[[153.02254     5.0496964 153.4031     10.008631   20.383514   19.448414 ]]
[[147.96208     6.3447475 147.74086    10.378579   20.92281    20.01924  ]],[[153.01653    5.022737 153.39554   10.162063  20.377258  19.507555]]
[[147.96727     6.3376184 147.7487     10.381006   20.876057   20.017042 ]],[[153.04062     5.0047483 153.41751    10.4227085  20.306957   19.527088 ]]
[[147.97551     6.3324847 147.75894    10.373267   20.83342    20.019552 ]],[[153.09149     5.0015125 153.46436    10.715364   20.206926   19.525719 ]]
[[147.9792     6.329809 147.7637    10.375578  20.795095  20.024378]],[[153.15968    5.008718 153.52722   10.991901  20.110489  19.52255 ]]
[[147.98058    6.328751 147.76613   10.379208  20.75982   20.029423]],[[153.24942     5.037287  153.60774    11.2471485  20.046066   19.536926 ]]
[[147.98242     6.3265133 147.76907    10.386428   20.727005   20.034414 ]],[[153.34431     5.0889635 153.68878    11.472516   20.024635   19.574156 ]]
[[147.98253    6.328745 147.76958   10.394086  20.699364  20.0436  ]],[[153.42288     5.1724277 153.74678    11.6382885  20.069035   19.648369 ]]
[[147.98196     6.3345475 147.76898    10.404866   20.676006   20.05474  ]],[[153.49004    5.279657 153.78844   11.746841  20.17115   19.7545  ]]
[[147.9815      6.3368974 147.76869    10.416045   20.652145   20.063314 ]],[[153.5461     5.406454 153.81491   11.81095   20.322725  19.888111]]
[[147.98152     6.3372064 147.7691     10.4287     20.630219   20.07074  ]],[[153.5974     5.55587  153.83156   11.839176  20.526266  20.052387]]
[[147.98001     6.3406544 147.76736    10.442254   20.613434   20.08118  ]],[[153.65663    5.737614 153.84859   11.839002  20.791311  20.257858]]
[[147.97978    6.343878 147.76682   10.457671  20.599155  20.092659]],[[153.70732     5.9109507 153.85912    11.807503   21.054644   20.456083 ]]
[[147.97942    6.347784 147.76607   10.473472  20.58993   20.10641 ]],[[153.74385    6.068557 153.85869   11.760903  21.303337  20.63924 ]]
[[147.9807     6.351202 147.76704   10.489207  20.582403  20.120434]],[[153.76018     6.1898856 153.84598    11.724569   21.484016   20.767635 ]]
[[147.98366    6.352241 147.77007   10.50773   20.575888  20.13403 ]],[[153.7668      6.2730527 153.83255    11.686129   21.583355   20.830791 ]]
[[147.98671     6.3564515 147.773      10.524385   20.573385   20.14885  ]],[[153.74849     6.3231435 153.80157    11.641623   21.60663    20.834644 ]]
[[147.98628     6.3579135 147.77225    10.539969   20.56967    20.15761  ]],[[153.70108    6.337507 153.74963   11.590874  21.55795   20.781797]]
[[147.98631    6.360184 147.77133   10.557387  20.570002  20.166681]],[[153.63142     6.3314643 153.68008    11.54567    21.4616     20.691711 ]]
[[147.98912     6.3642473 147.77275    10.57357    20.573116   20.176813 ]],[[153.54274    6.327212 153.59123   11.469259  21.338902  20.575632]]
[[147.99197    6.365487 147.77464   10.588691  20.57674   20.184868]],[[153.46666    6.305939 153.51105   11.288986  21.291746  20.440283]]
[[147.9944      6.3662524 147.77638    10.603263   20.582708   20.192917 ]],[[153.36842     6.2895703 153.40677    11.1223345  21.24334    20.306475 ]]
[[147.99457    6.367433 147.7758    10.615644  20.589418  20.199747]],[[153.29018     6.2159677 153.34027    10.86896    21.10452    20.08823  ]]
[[147.99533    6.366997 147.77606   10.629344  20.595448  20.204498]],[[153.20354    6.133698 153.2681    10.616904  20.956606  19.868738]]
[[147.99861     6.3686476 147.7785     10.646248   20.603863   20.211628 ]],[[153.10316    6.049194 153.18234   10.374085  20.811464  19.657307]]
[[147.99762    6.36993  147.77698   10.66034   20.610994  20.214962]],[[152.94875     6.0770173 153.0181     10.1621     20.832767   19.612093 ]]
[[147.99692    6.372479 147.77545   10.675067  20.620287  20.219519]],[[152.79674     6.0515666 152.86148    10.255373   20.82076    19.704836 ]]
[[147.99582    6.376487 147.77386   10.689181  20.63187   20.225477]],[[152.6703     6.026527 152.7308    10.35908   20.81894   19.791645]]
[[147.99675     6.3818045 147.7741     10.702941   20.64387    20.231617 ]],[[152.56276    5.998709 152.62201   10.441768  20.805176  19.866219]]
[[147.99684    6.386471 147.77402   10.713157  20.653233  20.234257]],[[152.4767      5.9699283 152.53683    10.505331   20.784058   19.924639 ]]
[[147.99565    6.391818 147.77208   10.721934  20.66363   20.236776]],[[152.40187    5.943447 152.46332   10.558073  20.765257  19.97485 ]]
[[147.98946     6.3962817 147.76573    10.730936   20.670813   20.235262 ]],[[152.335      5.920286 152.39749   10.604029  20.751976  20.02128 ]]
[[147.98248     6.4005737 147.75812    10.737902   20.67784    20.232641 ]],[[152.27496     5.899239  152.33824    10.6474495  20.74442    20.066961 ]]
[[147.97295     6.4028373 147.74806    10.743841   20.685272   20.228968 ]],[[152.2228      5.8799825 152.28677    10.689851   20.741302   20.112854 ]]
[[147.96265     6.4061017 147.73737    10.749896   20.692352   20.226131 ]],[[152.17482    5.861466 152.2396    10.727393  20.73649   20.15903 ]]
[[147.95247     6.4098077 147.72633    10.754559   20.700504   20.223475 ]],[[152.13155     5.8433833 152.19748    10.755619   20.72806    20.203402 ]]
[[147.94098    6.411781 147.71388   10.759007  20.705883  20.218662]],[[152.09312    5.826471 152.16022   10.777165  20.71866   20.247097]]
[[147.92596    6.412525 147.69804   10.763695  20.709461  20.212374]],[[152.06218     5.8116274 152.1304     10.783116   20.706718   20.292156 ]]
[[147.90793     6.4144835 147.67929    10.764983   20.71229    20.205833 ]],[[152.04292     5.8014073 152.11206    10.756505   20.6899     20.331245 ]]
[[147.88426     6.4202642 147.65411    10.765015   20.716627   20.200045 ]],[[152.03278    5.795119 152.1023    10.707862  20.673971  20.364653]]
[[147.86574     6.4240913 147.63411    10.762184   20.720295   20.194777 ]],[[152.02647     5.7924414 152.09534    10.647561   20.658905   20.39425  ]]
[[147.846      6.428027 147.61296   10.756535  20.723763  20.189722]],[[152.03365    5.794644 152.10057   10.572224  20.644135  20.420624]]
[[147.82901     6.4308023 147.59462    10.752202   20.725176   20.184515 ]],[[152.0619      5.8033776 152.12503    10.5309925  20.626493   20.450367 ]]
[[147.81812    6.431787 147.58267   10.747504  20.724823  20.18003 ]],[[152.12914     5.8231015 152.18561    10.5469475  20.60328    20.49304  ]]
[[147.80943    6.43243  147.57321   10.742161  20.723595  20.176235]],[[152.1982      5.8455367 152.24652    10.58678    20.58831    20.543673 ]]
[[147.80086     6.4334674 147.56322    10.736493   20.723122   20.17336  ]],[[152.26424     5.8722754 152.30232    10.654087   20.58659    20.606968 ]]
[[147.793       6.432833  147.5542     10.7318325  20.720901   20.169071 ]],[[152.33015    5.906252 152.35535   10.754054  20.603588  20.688192]]
[[147.7859     6.432308 147.5462    10.725129  20.718828  20.166365]],[[152.40013    5.952586 152.40915   10.88419   20.645533  20.793346]]
[[147.78036     6.4329863 147.54       10.71679    20.714975   20.163252 ]],[[152.45837    5.999356 152.45163   11.011438  20.689981  20.89779 ]]
[[147.77435    6.432362 147.53406   10.704115  20.710476  20.15897 ]],[[152.49907     6.0397797 152.4786     11.133543   20.727314   20.99217  ]]
[[147.7677      6.4310164 147.52701    10.694017   20.706894   20.155067 ]],[[152.5202      6.0742335 152.48767    11.249708   20.761826   21.076029 ]]
[[147.76347    6.429631 147.52281   10.684439  20.703749  20.15314 ]],[[152.52386     6.1032567 152.48091    11.358723   20.79352    21.149866 ]]
[[147.75865    6.431033 147.5175    10.674422  20.703222  20.153194]],[[152.51259    6.127995 152.46042   11.461707  20.824776  21.215794]]
[[147.75415    6.433545 147.51196   10.666746  20.705734  20.156008]],[[152.48775    6.148438 152.42769   11.556862  20.854279  21.272697]]
[[147.75243    6.439447 147.50899   10.662025  20.70956   20.162926]],[[152.4522      6.166097  152.38524    11.6481495  20.879059   21.318737 ]]
[[147.75157    6.44608  147.50682   10.657862  20.71552   20.170334]],[[152.41106     6.18177   152.33813    11.7366295  20.899387   21.354923 ]]
[[147.7485     6.455925 147.50157   10.653859  20.72433   20.179506]],[[152.3702      6.1928716 152.29312    11.813325   20.913633   21.380173 ]]
[[147.74382    6.467557 147.4948    10.648767  20.7327    20.187824]],[[152.3295     6.199037 152.25012   11.881584  20.92203   21.395897]]
[[147.74164    6.47688  147.49155   10.646131  20.740402  20.196789]],[[152.2882      6.1997614 152.20834    11.941509   20.925856   21.402533 ]]
[[147.74301     6.4839387 147.49173    10.644135   20.747814   20.206898 ]],[[152.24757     6.1954794 152.16913    11.991053   20.92471    21.398895 ]]
[[147.7461     6.49216  147.4938    10.641747  20.75815   20.220041]],[[152.21446    6.183746 152.14044   12.050493  20.926834  21.372576]]
[[147.7473     6.500968 147.49388   10.639485  20.768177  20.23345 ]],[[152.1927     6.164536 152.12654   12.127539  20.938572  21.31697 ]]
[[147.74757    6.508999 147.49376   10.636154  20.777525  20.246181]],[[152.17459     6.1440587 152.11726    12.173869   20.953846   21.253096 ]]
[[147.74437     6.5155153 147.49025    10.629633   20.785076   20.254786 ]],[[152.15968    6.125612 152.11188   12.156601  20.96024   21.18471 ]]
[[147.74007    6.519948 147.48604   10.623942  20.790615  20.261213]],[[152.15083     6.1081614 152.1128     12.128267   20.963793   21.11931  ]]
[[147.73361     6.5231886 147.48006    10.616199   20.794025   20.26389  ]],[[152.15398     6.0976725 152.12418    12.11634    20.97915    21.056622 ]]
[[147.72754     6.5272484 147.47423    10.609517   20.799093   20.267824 ]],[[152.16214     6.0948277 152.13896    12.10619    21.002964   20.992659 ]]
[[147.71895     6.5308466 147.46652    10.600906   20.80168    20.26854  ]],[[152.17389     6.0990148 152.15622    12.08974    21.032078   20.92379  ]]
[[147.71289     6.5351243 147.46132    10.593547   20.805346   20.27115  ]],[[152.18765     6.1128507 152.17375    12.06382    21.061007   20.852884 ]]
[[147.7059      6.5391574 147.45512    10.5866375  20.80867    20.272316 ]],[[152.20248    6.138658 152.18997   12.030207  21.089508  20.783358]]
[[147.70073     6.5432386 147.45032    10.58085    20.813906   20.27568  ]],[[152.22285     6.1712112 152.20966    12.107301   21.107506   20.723318 ]]
[[147.69449    6.547662 147.4446    10.576412  20.819918  20.279566]],[[152.23164    6.210872 152.21597   12.210085  21.126673  20.663305]]
[[147.69193     6.5538726 147.44234    10.57319    20.82633    20.284998 ]],[[152.21039     6.2630954 152.18988    12.268391   21.147146   20.602268 ]]
[[147.68858    6.560945 147.43878   10.571636  20.835325  20.290863]],[[152.16728    6.34049  152.13693   12.266133  21.149456  20.563564]]
[[147.68723     6.5687585 147.43637    10.572617   20.845926   20.298077 ]],[[152.1118     6.424385 152.07037   12.242392  21.135317  20.532347]]
[[147.68343     6.5715485 147.43236    10.573577   20.853806   20.301737 ]],[[152.03755     6.5058246 151.98593    12.199835   21.108059   20.499166 ]]
[[147.68263     6.5725985 147.43117    10.576611   20.86094    20.3039   ]],[[151.95262    6.58388  151.89218   12.110668  21.064524  20.46112 ]]
[[147.67914    6.576062 147.42674   10.58122   20.86984   20.306362]],[[151.85997     6.6673045 151.78954    11.955889   21.009214   20.422363 ]]
[[147.67603     6.5793777 147.42215    10.58835    20.881084   20.310562 ]],[[151.74428     6.7641225 151.66107    11.686137   20.958641   20.382114 ]]
[[147.67094     6.5822754 147.4153     10.596177   20.893147   20.313803 ]],[[151.61667    6.862642 151.52037   11.341453  20.92685   20.33984 ]]
[[147.66641    6.584009 147.40872   10.604869  20.903732  20.316526]],[[151.52019    6.949508 151.41586   11.063546  20.92383   20.245237]]
[[147.6654      6.5860295 147.40573    10.615447   20.914509   20.321688 ]],[[151.43184    7.016929 151.322     10.913851  20.903343  20.158564]]
[[147.66794    6.587142 147.40623   10.62738   20.925095  20.327263]],[[151.33086     7.0705147 151.2146     10.889395   20.862211   20.11901  ]]
[[147.6666      6.5853415 147.40306    10.640126   20.933678   20.32878  ]],[[151.24138    7.119992 151.11768   10.918757  20.842302  20.11434 ]]
[[147.6667      6.5845513 147.40118    10.652361   20.945349   20.331278 ]],[[151.1612     7.162063 151.03043   10.965738  20.841026  20.126835]]
[[147.66646     6.5805984 147.39905    10.663728   20.95782    20.33161  ]],[[151.09584    7.194404 150.95898   11.025755  20.861275  20.154243]]
[[147.6636     6.577895 147.39455   10.67446   20.971762  20.332607]],[[151.04247    7.22377  150.89944   11.0842    20.894922  20.189632]]
[[147.65921     6.5732255 147.38925    10.687764   20.987465   20.334597 ]],[[150.99539     7.2479997 150.8468     11.140022   20.94265    20.236258 ]]
[[147.65344     6.5695314 147.38171    10.700883   21.009302   20.339176 ]],[[150.95164     7.2720485 150.79724    11.193358   20.9922     20.283665 ]]
[[147.64882     6.5611677 147.37576    10.715352   21.030657   20.341423 ]],[[150.91347     7.2962623 150.75304    11.242529   21.043293   20.329739 ]]
[[147.64653    6.547852 147.37268   10.73055   21.051342  20.341093]],[[150.87854     7.3210783 150.71162    11.289747   21.097816   20.376505 ]]
[[147.6414      6.5387073 147.36569    10.7470255  21.079834   20.34471  ]],[[150.84776     7.3467603 150.6739     11.334278   21.155172   20.423502 ]]
[[147.63748    6.535089 147.35776   10.763877  21.120012  20.356033]],[[150.82004     7.373044  150.6389     11.3766165  21.214643   20.4707   ]]
[[147.63242    6.530812 147.34866   10.783122  21.164978  20.370409]],[[150.79475     7.4003606 150.60596    11.41355    21.276043   20.51672  ]]
[[147.61708    6.522852 147.32956   10.801885  21.2104    20.379604]],[[150.77242    7.429034 150.57571   11.438793  21.337818  20.558199]]
[[147.60056     6.5245223 147.3073     10.816527   21.267826   20.3987   ]],[[150.7547      7.4582014 150.54984    11.458344   21.403131   20.599665 ]]
[[147.58693    6.530233 147.28716   10.829979  21.331453  20.423492]],[[150.74715     7.4850316 150.53407    11.484193   21.477041   20.647886 ]]
[[147.56627     6.5405626 147.25969    10.847585   21.404673   20.454891 ]],[[150.74298     7.5096993 150.52179    11.516992   21.5547     20.700176 ]]
[[147.54324     6.5564256 147.22827    10.865642   21.486055   20.490238 ]],[[150.73956     7.5333333 150.50998    11.561541   21.636038   20.758577 ]]
[[147.5218     6.580229 147.19705   10.881616  21.577726  20.534588]],[[150.73618     7.5573516 150.49756    11.6203785  21.722725   20.826265 ]]
[[147.49461     6.6138477 147.15799    10.904577   21.684048   20.58894  ]],[[150.73201     7.5827336 150.48341    11.6965     21.81663    20.9063   ]]
[[147.4684     6.653843 147.11914   10.930095  21.802595  20.654604]],[[150.72949     7.6078353 150.47086    11.780307   21.90959    20.987164 ]]
[[147.43489    6.704189 147.07068   10.959127  21.933994  20.72742 ]],[[150.70036    7.699881 150.41803   11.841839  22.093925  21.136452]]
[[147.40094     6.7639685 147.01926    10.99417    22.075613   20.80754  ]],[[150.67       7.795281 150.36333   11.895499  22.280844  21.284744]]
[[147.3685     6.832816 146.9681    11.028626  22.225761  20.89599 ]],[[150.6606     7.929323 150.32155   11.864082  22.515238  21.448118]]
[[147.32933     6.9022174 146.91136    11.055354   22.37874    20.984282 ]],[[150.64894    8.062015 150.27792   11.828518  22.744753  21.605541]]
[[147.28755     6.9888663 146.84853    11.082746   22.545824   21.086205 ]],[[150.63557    8.194516 150.23277   11.785574  22.969296  21.756283]]
[[147.24637    7.083572 146.78467   11.110797  22.72093   21.195705]],[[150.6214     8.32791  150.18704   11.728056  23.189478  21.898077]]
[[147.20235    7.187156 146.71664   11.144902  22.902246  21.308987]],[[150.60402    8.460367 150.13843   11.66717   23.403612  22.033796]]
[[147.15416    7.298601 146.6429    11.177428  23.090052  21.428545]],[[150.584      8.590502 150.0877    11.607784  23.61141   22.164835]]
[[147.09744     7.4162135 146.56056    11.2085705  23.28227    21.551208 ]],[[150.56142    8.718841 150.03487   11.547202  23.81464   22.291553]]
[[147.04213     7.5482216 146.47655    11.235906   23.483543   21.685173 ]],[[150.53575    8.844169 149.97966   11.485734  24.011549  22.4124  ]]
[[146.98685    7.689189 146.3911    11.259128  23.687979  21.823524]],[[150.50761    8.96587  149.92291   11.422491  24.201283  22.526411]]
[[146.9295     7.839239 146.3026    11.279698  23.895998  21.96625 ]],[[150.47794    9.084463 149.86534   11.358254  24.385456  22.635221]]
[[146.8737      7.9960756 146.21425    11.3028145  24.10824    22.113615 ]],[[150.44646    9.200111 149.8067    11.292208  24.563705  22.738455]]
[[146.8175     8.15445  146.12653   11.32094   24.316605  22.258966]],[[150.41347    9.31258  149.74733   11.22532   24.735958  22.836378]]
[[146.75534    8.312735 146.03448   11.336503  24.519627  22.402483]],[[150.37886    9.420258 149.68729   11.166933  24.900583  22.933037]]
[[146.69182    8.482459 145.93922   11.347337  24.72843   22.555952]],[[150.34209    9.511722 149.62714   11.17903   25.050354  23.057648]]
[[146.62881    8.654033 145.8438    11.360636  24.935675  22.709538]],[[150.30428    9.599684 149.56685   11.189992  25.193626  23.17603 ]]
[[146.56755    8.83122  145.74875   11.369766  25.14334   22.868874]],[[150.26555    9.684219 149.50647   11.199635  25.33046   23.28825 ]]
[[146.51408    9.019016 145.65912   11.373394  25.355387  23.039461]],[[150.2257     9.765479 149.44583   11.208161  25.461073  23.3947  ]]
[[146.46136    9.208981 145.57014   11.375671  25.563597  23.209639]],[[150.18474    9.844041 149.38477   11.216534  25.586834  23.496881]]
[[146.40907    9.396816 145.48152   11.375253  25.763676  23.375263]],[[150.14293    9.920022 149.32349   11.22424   25.707878  23.594805]]
[[146.35863    9.582686 145.39522   11.373923  25.957575  23.538477]],[[150.10081    9.994551 149.26231   11.231581  25.82537   23.689682]]
[[146.30733    9.766481 145.30911   11.372073  26.141659  23.695465]],[[150.05876   10.067846 149.20154   11.238493  25.939896  23.78194 ]]
[[146.25668    9.948656 145.2248    11.367316  26.317545  23.849094]],[[150.01659   10.140189 149.14096   11.244645  26.051891  23.871841]]
[[146.20984   10.131222 145.145     11.359295  26.489523  24.00363 ]],[[149.97426   10.213112 149.08008   11.25026   26.163557  23.961187]]
[[146.16402   10.314626 145.0679    11.345375  26.655298  24.158663]],[[149.9315    10.286875 149.01865   11.255159  26.275606  24.050585]]
[[146.12532   10.49154  144.99922   11.328722  26.810678  24.307611]],[[149.8886    10.36166  148.95682   11.259426  26.388222  24.140202]]
[[146.08685   10.662154 144.9342    11.308879  26.95224   24.447561]],[[149.8457    10.437656 148.89474   11.262848  26.501366  24.230083]]
[[146.05621   10.827729 144.87877   11.284612  27.080282  24.58011 ]],[[149.80257   10.515239 148.8321    11.265054  26.615976  24.321049]]
