Label,Preds
[[149.4121     5.908237 149.37564    8.743749  27.532106  28.100811]],[[154.47517    8.008208 154.17911    9.885673  27.601131  27.75224 ]]
[[149.37419    5.720344 149.37512    8.869473  27.618486  28.30454 ]],[[154.39503    7.901913 154.12311   10.029617  27.73698   27.945312]]
[[149.33339     5.5547442 149.36508     9.012353   27.698374   28.508583 ]],[[154.3096      7.7937894 154.0625     10.179146   27.8773     28.14616  ]]
[[149.28572     5.4131036 149.34163     9.17126    27.78628    28.71933  ]],[[154.21968     7.6846547 153.99792    10.331808   28.020388   28.352562 ]]
[[149.24316    5.298165 149.31493    9.363158  27.874697  28.938236]],[[154.12617    7.575909 153.93002   10.485471  28.166252  28.564041]]
[[149.20386     5.2021265 149.28583     9.567727   27.955683   29.153244 ]],[[154.02602    7.464969 153.8564    10.641804  28.325071  28.792408]]
[[149.15834     5.1356144 149.24199     9.792306   28.031565   29.367353 ]],[[153.91594    7.408062 153.75803   10.817986  28.480352  29.034073]]
[[149.11284     5.0937157 149.19116    10.038023   28.114912   29.589787 ]],[[153.80197     7.4035354 153.6422     11.006637   28.635529   29.29157  ]]
[[149.05917    5.088899 149.12238   10.304507  28.203634  29.820139]],[[153.6877      7.4252877 153.52083    11.194855   28.813007   29.582901 ]]
[[149.0035      5.1163573 149.04228    10.590852   28.303493   30.065996 ]],[[153.5632      7.4179373 153.38739    11.463709   29.22829    30.096985 ]]
[[148.93907    5.177224 148.94577   10.887416  28.415953  30.3241  ]],[[153.4222      7.3403764 153.24013    11.858376   29.976156   30.910702 ]]
[[148.87114     5.2652745 148.83781    11.218885   28.538834   30.59873  ]],[[153.28246    7.263617 153.09462   12.238454  30.697544  31.69689 ]]
[[148.79547    5.378904 148.71574   11.555189  28.677683  30.885578]],[[153.14491    7.187465 152.95187   12.602957  31.390562  32.45314 ]]
[[148.71765    5.529634 148.5808    11.905568  28.830168  31.18294 ]],[[152.98592     7.3510394 152.72366    12.927232   31.977858   33.162727 ]]
[[148.64075     5.7172318 148.4363     12.283064   28.99653    31.486143 ]],[[152.83301     7.6561275 152.46481    13.193281   32.469078   33.81054  ]]
[[148.5567      5.9421234 148.2739     12.662674   29.188831   31.811783 ]],[[152.72388     7.9069085 152.26874    13.388706   32.86127    34.33491  ]]
[[148.46211     6.1912007 148.09572    13.047994   29.404182   32.158806 ]],[[152.6306     8.122529 152.10028   13.563385  33.207363  34.79613 ]]
[[148.36597    6.466557 147.90878   13.447315  29.630898  32.509712]],[[152.54149    8.33312  151.93777   13.739361  33.545536  35.246593]]
[[148.27283     6.773564  147.7164     13.8559265  29.882158   32.879753 ]],[[152.4565     8.534559 151.78238   13.914862  33.87339   35.682304]]
[[148.17415     7.1050167 147.51283    14.274618   30.158276   33.270065 ]],[[152.37416     8.720818  151.63312    14.1257305  34.184452   36.119873 ]]
[[148.0651      7.4499383 147.29588    14.6777115  30.452297   33.66831  ]],[[152.29509    8.898661 151.48978   14.337564  34.482937  36.54413 ]]
[[147.95181     7.8117127 147.07143    15.085736   30.777082   34.08956  ]],[[152.21855    9.070136 151.3512    14.546229  34.771923  36.955788]]
[[147.8296     8.190608 146.83354   15.490636  31.113255  34.51539 ]],[[152.14397    9.236962 151.21617   14.753     35.05324   37.357803]]
[[147.69856    8.576622 146.58571   15.876816  31.474194  34.956474]],[[152.07188    9.401997 151.0844    14.960154  35.328274  37.75276 ]]
[[147.55556    8.965251 146.32582   16.251945  31.854658  35.412342]],[[152.00412    9.567937 150.95694   15.170752  35.59883   38.143654]]
[[147.41206    9.366664 146.0609    16.61922   32.256897  35.87758 ]],[[151.93846    9.734005 150.83177   15.382968  35.865818  38.531143]]
[[147.25912    9.765761 145.78671   16.967089  32.67557   36.350037]],[[151.87294     9.90015   150.70679    15.5961685  36.130688   38.916298 ]]
[[147.10704   10.162822 145.51411   17.299429  33.113274  36.831635]],[[151.80577   10.068178 150.5796    15.811777  36.395412  39.30246 ]]
[[146.93918   10.551601 145.22583   17.629333  33.563183  37.323204]],[[151.73688   10.239887 150.44958   16.03085   36.660435  39.69103 ]]
[[146.77692   10.921956 144.94434   17.964735  34.03001   37.829914]],[[151.6655    10.417853 150.31519   16.255571  36.928272  40.085854]]
[[146.60521   11.277039 144.6562    18.277777  34.512157  38.342968]],[[151.58763   10.615276 150.16798   16.499043  37.215607  40.50923 ]]
[[146.4376    11.617794 144.37265   18.589296  35.00203   38.860798]],[[151.5017    10.831282 150.0065    16.762184  37.52497   40.96331 ]]
[[146.2639    11.953473 144.08333   18.888094  35.490925  39.37162 ]],[[151.40736   11.065311 149.83063   17.04459   37.85574   41.447105]]
[[146.08095   12.269523 143.7912    19.158691  35.980194  39.878853]],[[151.30437   11.316043 149.6405    17.344753  38.206303  41.957985]]
[[145.90686   12.576516 143.5113    19.438398  36.47008   40.388195]],[[151.19221   11.582405 149.4359    17.662132  38.578136  42.496517]]
[[145.71837   12.880456 143.22177   19.691689  36.956676  40.885452]],[[151.06903   11.864936 149.21457   17.998762  38.97727   43.06872 ]]
[[145.53593   13.17829  142.942     19.92883   37.438595  41.372303]],[[150.93275   12.163789 148.97415   18.35752   39.40978   43.68164 ]]
[[145.35052   13.470465 142.66481   20.153307  37.922592  41.85628 ]],[[150.78352   12.477328 148.71535   18.73541   39.872395  44.33057 ]]
[[145.16423   13.754486 142.39049   20.366833  38.40295   42.33137 ]],[[150.62729   12.799    148.44695   19.119503  40.34186   44.988125]]
[[144.98418   14.023577 142.12619   20.567492  38.880917  42.797558]],[[150.47446   13.137349 148.17581   19.49718   40.861187  45.6243  ]]
[[144.80347   14.279405 141.86502   20.74206   39.349174  43.244347]],[[150.32777   13.522539 147.90622   19.91495   41.37859   46.181858]]
[[144.62418   14.527888 141.60756   20.894857  39.80193   43.667294]],[[150.16905   13.92808  147.61829   20.348568  41.91966   46.76134 ]]
[[144.45195   14.7637   141.35976   21.035652  40.24106   44.07499 ]],[[149.99275   14.364916 147.30307   20.808645  42.500103  47.378036]]
[[144.2903    14.990348 141.12566   21.168457  40.665718  44.465843]],[[149.8056    14.816057 146.97266   21.273615  43.100536  48.005245]]
[[144.11484   15.198186 140.88531   21.268768  41.0799    44.838097]],[[149.60643   15.283185 146.6253    21.742477  43.726234  48.643494]]
[[143.9447    15.396682 140.65167   21.352776  41.484623  45.192593]],[[149.46149   15.759031 146.33676   22.146168  44.242855  49.186348]]
[[143.77927   15.585007 140.42598   21.427038  41.874447  45.53184 ]],[[149.35693   16.194107 146.10449   22.42747   44.718502  49.65429 ]]
[[143.61256   15.767426 140.2019    21.480215  42.24845   45.85115 ]],[[149.24702   16.61612  145.8706    22.66569   45.224293  50.116333]]
[[143.45016   15.93881  139.9849    21.527792  42.61186   46.15941 ]],[[149.12218   17.047018 145.61908   22.901728  45.75547   50.5838  ]]
[[143.29694   16.097023 139.78168   21.561724  42.96407   46.45653 ]],[[148.98174   17.48641  145.34932   23.13742   46.311543  51.056385]]
[[143.14784   16.249588 139.58502   21.605211  43.30027   46.74893 ]],[[148.83998   17.942629 145.07297   23.38442   46.89874   51.543175]]
[[143.00241   16.391169 139.3961    21.613758  43.626232  47.003746]],[[148.68507   18.411362 144.7795    23.639065  47.512463  52.040703]]
[[142.86626   16.530518 139.21715   21.652828  43.94332   47.27951 ]],[[148.51128   18.89348  144.46289   23.902113  48.15831   52.554005]]
[[142.73811   16.65973  139.04935   21.689665  44.2483    47.547455]],[[148.32968   19.34932  144.14607   24.149063  48.769558  53.04128 ]]
[[142.61864   16.788584 138.88974   21.728212  44.533016  47.798717]],[[148.1414    19.76845  143.83316   24.375673  49.32957   53.492912]]
[[142.50032   16.914513 138.73254   21.753399  44.804226  48.032776]],[[147.93842   20.179781 143.50775   24.591526  49.870083  53.93052 ]]
[[142.38733   17.037561 138.58131   21.781023  45.06531   48.261208]],[[147.73042   20.560087 143.18608   24.77885   50.36265   54.319805]]
[[142.27501   17.15025  138.43509   21.799692  45.31968   48.485058]],[[147.519     20.90039  142.87222   24.931767  50.796253  54.64647 ]]
[[142.1624    17.259817 138.2904    21.82149   45.560852  48.702606]],[[147.30693   21.212194 142.56543   25.062376  51.188896  54.92093 ]]
[[142.05664   17.362854 138.15446   21.85464   45.791718  48.92223 ]],[[147.118     21.488579 142.29114   25.171457  51.522198  55.125942]]
[[141.9568    17.46245  138.02527   21.882969  46.01325   49.131195]],[[146.94508   21.70148  142.05098   25.224707  51.775257  55.230057]]
[[141.86601   17.562834 137.90367   21.909067  46.2199    49.321175]],[[146.78694   21.867651 141.84035   25.220036  52.0751    55.31254 ]]
[[141.77791   17.659605 137.78659   21.92283   46.415573  49.49924 ]],[[146.67819   21.841007 141.72797   25.289536  52.20708   55.294144]]
[[141.70471   17.758978 137.68196   21.94034   46.598415  49.659412]],[[146.66637   21.50739  141.8005    25.170813  52.029972  54.93301 ]]
[[141.63722   17.849558 137.58632   21.952747  46.772564  49.811665]],[[146.76521   20.815886 142.08195   24.935677  51.547264  54.22509 ]]
[[141.56699   17.93012  137.49171   21.963234  46.94284   49.96486 ]],[[146.92683   19.798344 142.51117   24.780678  50.80899   53.32846 ]]
[[141.49794   18.001907 137.40178   21.96394   47.102604  50.106747]],[[147.11801   18.857548 142.95093   24.613853  50.07345   52.416595]]
[[141.43044   18.06942  137.31538   21.951542  47.252567  50.234722]],[[147.37437   18.118317 143.41026   24.25483   49.341835  51.411865]]
[[141.36586   18.129    137.23457   21.941488  47.399673  50.364006]],[[147.63797   17.225954 143.9267    23.614895  48.29215   49.99907 ]]
[[141.2956    18.18094  137.15176   21.920065  47.537548  50.483746]],[[147.91306   16.832293 144.33238   23.005981  47.937557  49.27498 ]]
[[141.23041  18.2292  137.075    21.89194  47.66862  50.59405]],[[148.02007   17.213491 144.36185   22.681818  48.505108  49.524216]]
[[141.17336   18.273125 137.00755   21.874054  47.79243   50.70586 ]],[[148.06398   17.79855  144.253     22.627329  49.088284  49.826683]]
[[141.10757   18.306053 136.93703   21.840065  47.907234  50.80969 ]],[[147.94182   18.615604 143.88248   22.926815  49.51309   49.97641 ]]
[[141.0437    18.329008 136.87189   21.798592  48.02538   50.90867 ]],[[147.54948   19.079966 143.35732   23.739595  49.451992  50.62494 ]]
[[140.99759   18.362444 136.8177    21.77072   48.12944   50.994007]],[[147.70302   18.509922 143.7138    24.559414  48.32382   51.691658]]
[[140.95915   18.39876  136.76904   21.734253  48.22341   51.055313]],[[147.46077   18.355677 143.52835   25.208641  47.467373  52.453224]]
[[140.91699   18.428417 136.71956   21.718136  48.314583  51.14164 ]],[[146.66508   18.683609 142.61603   25.809025  47.196415  52.82708 ]]
[[140.87968   18.45595  136.67549   21.70446   48.403843  51.22422 ]],[[145.83836   18.964485 141.66473   25.65804   47.297146  52.22512 ]]
[[140.85103   18.481161 136.63908   21.702164  48.491714  51.309284]],[[144.9907    19.06197  140.75261   25.576036  47.28446   51.63141 ]]
[[140.8344    18.495684 136.61812   21.696463  48.58348   51.387707]],[[144.52321   18.77412  140.36655   25.277973  46.89564   51.167305]]
[[140.807     18.507307 136.58835   21.685207  48.66351   51.46503 ]],[[144.20496   18.583477 140.10748   24.785337  47.004772  50.963673]]
[[140.79076   18.528757 136.5651    21.682423  48.72776   51.52773 ]],[[143.82207   18.566824 139.73679   24.16901   47.452366  50.915573]]
[[140.76851   18.550663 136.53635   21.650433  48.781124  51.552753]],[[143.52223   18.739477 139.39684   23.79655   48.026783  51.17434 ]]
[[140.75157   18.562195 136.5169    21.652832  48.84031   51.616352]],[[143.35664   19.015404 139.15895   23.652756  48.680687  51.63082 ]]
[[140.74263   18.576853 136.50296   21.659     48.892796  51.669147]],[[143.33278   19.294233 139.06      23.58268   49.3325    52.1214  ]]
[[140.72542   18.600967 136.47803   21.653316  48.92783   51.70286 ]],[[143.4164    19.521994 139.07996   23.555548  49.92046   52.572906]]
[[140.724     18.614594 136.47107   21.660938  48.96753   51.74386 ]],[[143.51578   19.629196 139.14923   23.578997  50.357502  53.00971 ]]
[[140.7136    18.622757 136.45818   21.66119   49.00591   51.783985]],[[143.60408   19.644379 139.2329    23.60347   50.655663  53.38311 ]]
[[140.70891   18.62547  136.45305   21.665632  49.037865  51.818577]],[[143.65797   19.58072  139.30243   23.692942  50.789497  53.698193]]
[[140.69167   18.6223   136.43869   21.6543    49.067787  51.848175]],[[143.7153    19.41111  139.4036    23.743511  50.76636   53.86477 ]]
[[140.6911    18.623245 136.43861   21.65611   49.08846   51.868584]],[[143.80217   19.159134 139.55675   23.723255  50.656357  53.898476]]
[[140.69173   18.626871 136.43883   21.655502  49.100063  51.87646 ]],[[143.94704   18.845148 139.78427   23.669056  50.52788   53.878643]]
[[140.68623   18.623766 136.43571   21.648308  49.10895   51.88141 ]],[[144.11148   18.554012 140.02332   23.593084  50.394207  53.812828]]
[[140.69127   18.615765 136.44414   21.647444  49.11709   51.88304 ]],[[144.27563   18.278772 140.25586   23.49509   50.26849   53.697548]]
[[140.69536   18.604597 136.45337   21.640255  49.119938  51.8771  ]],[[144.4266    18.023617 140.46883   23.390127  50.150204  53.555992]]
[[140.70798   18.591553 136.47017   21.639887  49.12061   51.868008]],[[144.5655    17.7982   140.66083   23.259586  50.045406  53.37645 ]]
[[140.71007   18.57442  136.47928   21.628796  49.11629   51.85241 ]],[[144.70312   17.594543 140.84515   23.112602  49.9694    53.180195]]
[[140.71584   18.563795 136.4899    21.620586  49.099216  51.824905]],[[144.84505   17.432676 141.02254   22.936703  49.931515  52.978634]]
[[140.73306   18.535036 136.51736   21.620796  49.090042  51.803688]],[[144.9835    17.294956 141.18848   22.790586  49.935757  52.797443]]
[[140.75812   18.502174 136.55443   21.629013  49.07194   51.774403]],[[145.11363  17.18056 141.33862  22.65834  49.95181  52.60768]]
[[140.79257   18.469793 136.59995   21.642431  49.042633  51.73262 ]],[[145.21915   17.105831 141.4529    22.533415  49.98705   52.419296]]
[[140.82935   18.430119 136.6503    21.647814  49.00829   51.676098]],[[145.31416   17.057188 141.54947   22.40638   50.04502   52.23705 ]]
[[140.87389   18.37979  136.71172   21.677315  48.97185   51.64342 ]],[[145.39058   17.042593 141.61768   22.277355  50.116306  52.057663]]
[[140.9291    18.331846 136.7829    21.700272  48.91712   51.57645 ]],[[145.4423    17.066414 141.65039   22.15052   50.20554   51.886578]]
[[140.98363   18.270641 136.85832   21.716007  48.85886   51.503613]],[[145.47137   17.120764 141.6524    22.022486  50.30623   51.722282]]
[[141.052     18.198593 136.95166   21.739601  48.793022  51.424072]],[[145.47394   17.191652 141.62447   21.92649   50.402336  51.592293]]
[[141.13316   18.11447  137.0616    21.77205   48.719448  51.338795]],[[145.4373    17.25211  141.56377   22.001408  50.456253  51.62445 ]]
[[141.21248   18.019835 137.1745    21.794708  48.632908  51.238766]],[[145.4058    17.305387 141.51047   22.07173   50.49763   51.64675 ]]
[[141.30745   17.915205 137.30591   21.831244  48.538136  51.13443 ]],[[145.379     17.350725 141.46442   22.137415  50.531376  51.661194]]
[[141.41125   17.794317 137.45126   21.863781  48.434166  51.017086]],[[145.3602    17.37977  141.43129   22.199093  50.55009   51.664543]]
[[141.52634   17.657616 137.61304   21.887732  48.322227  50.880684]],[[145.3543    17.382093 141.41864   22.263077  50.554516  51.65912 ]]
[[141.66045   17.50616  137.79965   21.918814  48.196766  50.728737]],[[145.36247   17.35568  141.42825   22.329124  50.546535  51.64572 ]]
[[141.79814   17.327757 137.99931   21.945356  48.063698  50.576347]],[[145.38509   17.305113 141.45923   22.390127  50.5258    51.618813]]
[[141.93686   17.118303 138.20807   21.955936  47.9266    50.41226 ]],[[145.42351   17.229689 141.51321   22.443785  50.493504  51.578304]]
