AA_SN_X,AA_SN_Y,AA_SN_Z,GH_AA_X,GH_AA_Y,GH_AA_Z,GH_SN_X,GH_SN_Y,GH_SN_Z
41.76,7.27,42.34,52.6,40.98,61.21,10.96,47.92,48.77
41.74,7.26,42.32,52.5,40.98,61.05,10.89,47.9,48.71
41.78,7.28,42.38,52.63,40.97,61.11,10.97,47.88,48.71
41.81,7.18,42.37,52.66,41.03,61.23,10.97,47.88,48.71
41.79,7.17,42.35,52.73,41.01,61.36,11.05,47.87,48.73
41.77,7.16,42.33,52.6,41.03,61.29,10.94,47.88,48.73
41.74,7.21,42.32,52.59,41.01,61.16,10.97,47.88,48.71
41.62,7.31,42.21,52.48,40.9,61.1,10.97,47.89,48.74
41.75,7.24,42.34,52.68,40.97,61.27,11.03,47.87,48.74
41.68,7.22,42.26,52.57,40.97,61.27,10.99,47.88,48.75
41.66,7.25,42.25,52.63,40.94,61.37,11.05,47.87,48.78
41.59,7.3,42.18,52.5,40.9,61.27,11.0,47.91,48.79
41.62,7.33,42.2,52.45,40.88,61.14,10.94,47.9,48.75
41.58,7.34,42.17,52.47,40.86,61.13,11.0,47.88,48.75
41.62,7.24,42.19,52.58,40.94,61.33,11.05,47.88,48.77
41.42,7.15,41.97,52.55,40.91,61.28,11.25,47.81,48.69
41.67,7.26,42.24,52.54,40.94,61.27,10.97,47.9,48.76
41.68,7.24,42.24,52.52,40.92,61.24,10.96,47.87,48.73
41.71,7.22,42.28,52.51,40.98,61.25,10.91,47.9,48.75
41.73,7.25,42.3,52.56,40.94,61.28,10.94,47.89,48.75
41.83,7.21,42.4,52.7,40.98,61.36,10.97,47.88,48.74
41.8,7.22,42.36,52.64,40.95,61.34,10.95,47.87,48.73
41.8,7.23,42.37,52.63,40.95,61.32,10.93,47.88,48.74
41.75,7.33,42.34,52.6,40.89,61.25,10.96,47.9,48.77
41.76,7.3,42.34,52.62,40.92,61.28,10.97,47.91,48.77
41.77,7.34,42.36,52.67,40.91,61.27,11.0,47.92,48.79
41.71,7.32,42.3,52.63,40.9,61.25,11.02,47.89,48.77
41.76,7.33,42.35,52.61,40.89,61.25,10.95,47.9,48.77
41.73,7.33,42.33,52.61,40.91,61.24,10.97,47.91,48.78
41.78,7.32,42.37,52.61,40.91,61.25,10.93,47.91,48.77
41.77,7.33,42.36,52.54,40.92,61.14,10.89,47.92,48.75
41.78,7.27,42.36,52.53,40.9,61.14,10.87,47.86,48.69
41.8,7.25,42.37,52.55,40.94,61.17,10.87,47.87,48.7
41.92,7.28,42.51,52.69,40.92,61.24,10.89,47.87,48.7
41.93,7.33,42.52,52.66,40.89,61.19,10.84,47.88,48.71
41.93,7.29,42.52,52.2,40.96,60.71,10.43,47.92,48.6
41.93,7.27,42.51,52.26,40.95,60.78,10.5,47.9,48.59
41.81,7.23,42.37,52.69,40.94,61.37,10.99,47.87,48.74
41.8,7.21,42.37,52.65,40.97,61.35,10.95,47.88,48.74
41.81,7.29,42.39,52.65,40.89,61.3,10.94,47.87,48.73
41.77,7.29,42.35,52.53,40.88,61.12,10.88,47.84,48.67
41.77,7.23,42.34,52.55,40.89,61.17,10.9,47.82,48.65
41.64,7.23,42.21,52.43,40.91,61.14,10.91,47.85,48.68
41.69,7.27,42.26,52.52,40.91,61.27,10.93,47.88,48.75
41.78,7.32,42.38,52.6,40.9,61.27,10.91,47.88,48.76
41.76,7.25,42.34,52.51,40.89,61.13,10.87,47.83,48.65
41.66,7.29,42.24,52.38,40.86,61.04,10.84,47.85,48.66
41.78,7.28,42.36,52.5,40.89,61.09,10.85,47.86,48.67
41.67,7.26,42.24,52.42,40.9,61.13,10.87,47.87,48.7
41.67,7.25,42.24,52.36,40.88,61.08,10.81,47.85,48.66
41.68,7.25,42.25,51.77,40.92,60.48,10.27,47.89,48.54
41.7,7.22,42.26,51.82,40.93,60.53,10.32,47.89,48.54
41.69,7.25,42.26,51.76,40.9,60.37,10.28,47.87,48.49
41.69,7.2,42.25,51.8,40.93,60.47,10.31,47.86,48.49
41.69,7.25,42.25,52.43,40.91,61.17,10.86,47.89,48.72
41.68,7.26,42.25,52.44,40.89,61.17,10.87,47.86,48.71
41.67,7.26,42.24,52.42,40.89,61.15,10.87,47.87,48.7
41.69,7.22,42.25,52.39,40.9,61.09,10.83,47.84,48.65
41.64,7.24,42.21,52.32,40.89,60.99,10.81,47.84,48.64
41.62,7.19,42.17,52.3,40.91,61.03,10.81,47.83,48.63
41.52,7.24,42.09,52.31,40.88,61.12,10.9,47.85,48.7
41.53,7.2,42.08,52.43,40.89,61.25,11.01,47.83,48.7
41.59,7.24,42.16,51.75,40.89,60.5,10.34,47.86,48.53
41.71,7.23,42.27,51.88,40.91,60.57,10.35,47.87,48.53
41.69,7.28,42.27,52.41,40.86,60.96,10.87,47.83,48.62
41.7,7.32,42.28,52.46,40.84,61.09,10.88,47.85,48.68
41.68,7.32,42.26,52.47,40.84,61.16,10.91,47.86,48.71
41.72,7.33,42.31,52.42,40.85,61.02,10.83,47.87,48.68
41.73,7.33,42.32,52.44,40.86,61.05,10.84,47.88,48.7
41.72,7.32,42.31,52.44,40.86,61.05,10.85,47.88,48.69
41.71,7.31,42.29,52.5,40.87,61.11,10.92,47.87,48.7
41.7,7.32,42.29,52.51,40.87,61.12,10.93,47.88,48.72
41.7,7.31,42.29,52.62,40.88,61.2,11.03,47.87,48.72
41.76,7.29,42.35,52.62,40.91,61.18,10.97,47.87,48.71
41.75,7.29,42.34,52.63,40.93,61.15,11.01,47.88,48.72
41.69,7.29,42.27,52.6,40.9,61.18,11.03,47.88,48.73
41.66,7.23,42.23,52.55,40.92,61.17,11.01,47.85,48.69
41.73,7.3,42.31,52.63,40.87,61.19,11.02,47.84,48.7
41.78,7.26,42.36,52.67,40.88,61.21,11.0,47.8,48.66
41.75,7.22,42.33,52.64,40.89,61.15,11.01,47.77,48.62
41.77,7.28,42.35,52.64,40.89,61.15,11.0,47.83,48.68
41.76,7.26,42.34,52.63,40.87,61.14,11.0,47.8,48.64
41.77,7.23,42.35,52.63,40.88,61.14,10.98,47.77,48.61
41.8,7.26,42.38,52.66,40.85,61.17,10.97,47.78,48.63
41.74,7.2,42.31,52.58,40.9,61.18,10.96,47.77,48.62
41.73,7.32,42.33,52.58,40.8,61.07,10.96,47.76,48.61
41.74,7.32,42.33,52.58,40.8,61.07,10.96,47.78,48.62
41.66,7.28,42.24,52.49,40.84,61.08,10.96,47.8,48.64
41.66,7.25,42.24,52.53,40.85,61.1,10.98,47.78,48.62
41.72,7.23,42.3,52.59,40.89,61.2,10.98,47.81,48.66
41.71,7.24,42.29,52.55,40.87,61.13,10.96,47.79,48.63
41.73,7.24,42.3,52.54,40.87,61.13,10.93,47.8,48.63
41.7,7.23,42.27,52.55,40.87,61.13,10.97,47.78,48.63
41.71,7.24,42.29,52.57,40.86,61.17,10.97,47.79,48.64
41.7,7.23,42.27,52.57,40.87,61.17,10.99,47.78,48.63
41.7,7.26,42.28,52.55,40.85,61.14,10.96,47.79,48.64
41.7,7.25,42.28,52.5,40.84,61.08,10.92,47.78,48.61
41.71,7.26,42.29,52.49,40.83,61.07,10.91,47.78,48.61
41.68,7.27,42.26,52.49,40.82,61.08,10.94,47.79,48.62
41.72,7.29,42.29,52.46,40.83,61.03,10.88,47.8,48.62
41.73,7.29,42.31,52.59,40.86,61.18,10.98,47.84,48.69
41.71,7.25,42.29,52.52,40.84,61.06,10.95,47.78,48.6
41.77,7.19,42.34,52.56,40.9,61.08,10.92,47.76,48.58
41.78,7.15,42.35,52.65,40.94,61.18,10.99,47.76,48.59
41.78,7.14,42.34,52.58,40.94,61.17,10.92,47.77,48.6
41.78,7.14,42.34,52.63,40.95,61.25,10.96,47.77,48.62
41.79,7.14,42.35,52.69,40.96,61.34,11.0,47.78,48.65
41.77,7.15,42.33,52.56,40.96,61.19,10.91,47.79,48.63
41.79,7.16,42.35,52.57,40.95,61.19,10.9,47.8,48.63
41.81,7.2,42.38,52.57,40.93,61.17,10.88,47.81,48.64
41.83,7.19,42.4,52.61,40.97,61.23,10.89,47.82,48.66
41.8,7.22,42.37,52.58,40.93,61.23,10.89,47.84,48.68
41.86,7.21,42.43,52.62,40.94,61.23,10.87,47.83,48.66
41.86,7.2,42.43,52.58,40.95,61.17,10.85,47.84,48.65
41.84,7.22,42.41,52.58,40.95,61.17,10.86,47.85,48.67
41.8,7.25,42.38,52.54,40.92,61.14,10.86,47.85,48.67
41.86,7.21,42.43,52.62,40.97,61.22,10.87,47.86,48.68
41.96,7.19,42.53,52.77,41.01,61.33,10.92,47.86,48.71
41.95,7.18,42.53,52.79,41.02,61.37,10.93,47.86,48.71
41.73,7.17,42.29,52.52,41.01,61.25,10.9,47.88,48.73
41.73,7.18,42.3,52.54,41.01,61.23,10.91,47.87,48.72
